[2024-04-30 11:27:13.823 - INFO] o.h.validator.internal.util.Version      :HV000001: Hibernate Validator 8.0.0.Final
[2024-04-30 11:27:14.094 - INFO] d.s.b.c.e.WelcomeLogoApplicationListener : [DUBBO] 

 :: Dubbo (v3.2.0-beta.3) : https://github.com/apache/dubbo
 :: Discuss group : dev@dubbo.apache.org
, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:14.095 - WARN] c.a.nacos.client.logging.NacosLogging    :Load Logback Configuration of Nacos fail, message: org/slf4j/impl/StaticLoggerBinder
[2024-04-30 11:27:14.095 - WARN] c.a.nacos.client.logging.NacosLogging    :Load Logback Configuration of Nacos fail, message: org/slf4j/impl/StaticLoggerBinder
[2024-04-30 11:27:14.206 - INFO] c.a.c.n.c.NacosConfigDataLoader          :[Nacos Config] Load config[dataId=liyu-live-gateway.yaml, group=DEFAULT_GROUP] success
[2024-04-30 11:27:14.646 - WARN] c.a.nacos.client.logging.NacosLogging    :Load Logback Configuration of Nacos fail, message: org/slf4j/impl/StaticLoggerBinder
[2024-04-30 11:27:14.647 - WARN] c.a.nacos.client.logging.NacosLogging    :Load Logback Configuration of Nacos fail, message: org/slf4j/impl/StaticLoggerBinder
[2024-04-30 11:27:14.669 - WARN] c.a.c.n.c.NacosPropertySourceBuilder     :Ignore the empty nacos configuration and get it based on dataId[liyu-live-gateway] & group[DEFAULT_GROUP]
[2024-04-30 11:27:14.678 - INFO] b.c.PropertySourceBootstrapConfiguration :Located property source: [BootstrapPropertySource {name='bootstrapProperties-liyu-live-gateway.yaml,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-liyu-live-gateway,DEFAULT_GROUP'}]
[2024-04-30 11:27:14.701 - INFO] o.liyu.live.gateway.GatewayApplication   :No active profile set, falling back to 1 default profile: "default"
[2024-04-30 11:27:14.715 - INFO] c.a.c.n.c.NacosConfigDataLoader          :[Nacos Config] Load config[dataId=liyu-live-gateway.yaml, group=DEFAULT_GROUP] success
[2024-04-30 11:27:15.247 - INFO] o.apache.dubbo.rpc.model.FrameworkModel  : [DUBBO] Reset global default framework from null to Dubbo Framework[1], dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.247 - INFO] o.apache.dubbo.rpc.model.FrameworkModel  : [DUBBO] Dubbo Framework[1] is created, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.265 -ERROR] o.a.d.c.r.GlobalResourcesRepository      : [DUBBO] Creating global shared handler ..., dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.315 - INFO] o.a.dubbo.rpc.model.ApplicationModel     : [DUBBO] Dubbo Application[1.0](unknown) is created, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:27:15.318 - INFO] org.apache.dubbo.rpc.model.ScopeModel    : [DUBBO] Dubbo Module[1.0.0] is created, dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
