[2024-04-30 11:26:39.119 -ERROR] o.a.d.c.r.GlobalResourcesRepository      : [DUBBO] Creating global shared handler ..., dubbo version: 3.2.0-beta.3, current host: 10.96.54.43
[2024-04-30 11:35:47.616 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97D570910006, offsetMsgId=C0A8DE8500002A9F000000000024C39E, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=2], queueOffset=22]
[2024-04-30 11:35:51.516 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97D57FD90007, offsetMsgId=C0A8DE8500002A9F000000000024C48F, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=0], queueOffset=35]
[2024-04-30 11:36:49.574 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97D662A4000C, offsetMsgId=C0A8DE8500002A9F000000000024CEF5, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=1], queueOffset=36]
[2024-04-30 11:36:51.671 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97D66ACE000D, offsetMsgId=C0A8DE8500002A9F000000000024CFE6, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=2], queueOffset=23]
[2024-04-30 11:37:50.937 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97D752570012, offsetMsgId=C0A8DE8500002A9F000000000024D8EF, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=1], queueOffset=37]
[2024-04-30 11:37:52.398 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97D7580B0014, offsetMsgId=C0A8DE8500002A9F000000000024DAD0, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=2], queueOffset=24]
[2024-04-30 11:37:59.368 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97D773460015, offsetMsgId=C0A8DE8500002A9F000000000024DBC1, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=2], queueOffset=25]
[2024-04-30 11:39:50.069 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97D923B2001A, offsetMsgId=C0A8DE8500002A9F000000000024E4CA, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=3], queueOffset=27]
[2024-04-30 11:39:52.903 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97D92EB3001B, offsetMsgId=C0A8DE8500002A9F000000000024E5BB, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=2], queueOffset=26]
[2024-04-30 11:45:02.941 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97DDE9D50022, offsetMsgId=C0A8DE8500002A9F000000000025095A, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=2], queueOffset=27]
[2024-04-30 11:45:07.474 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97DDFB910023, offsetMsgId=C0A8DE8500002A9F0000000000250A4B, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=3], queueOffset=28]
[2024-04-30 11:47:36.945 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97E0436D0028, offsetMsgId=C0A8DE8500002A9F0000000000252A05, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=3], queueOffset=29]
[2024-04-30 11:47:41.562 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97E055780029, offsetMsgId=C0A8DE8500002A9F0000000000252AF6, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=1], queueOffset=38]
[2024-04-30 11:49:11.115 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97E1B349002E, offsetMsgId=C0A8DE8500002A9F0000000000254DA2, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=0], queueOffset=36]
[2024-04-30 11:49:16.601 -ERROR] o.l.l.i.c.s.h.impl.LogoutMsgHandler      :[sendLogoutMQ] result is SendResult [sendStatus=SEND_OK, msgId=7F000001977063947C6B97E1C8B1002F, offsetMsgId=C0A8DE8500002A9F0000000000254F90, messageQueue=MessageQueue [topic=im_offline_topic, brokerName=broker-a, queueId=3], queueOffset=30]
